stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
109,592,"GLEN MORRIS DR + TOWERING HEIGHTS BLVD",,43.139668,-79.236155,,,,,,0
110,593,"GLEN MORRIS DR + VILLAGE RD",,43.140098,-79.231585,,,,,,0
111,740,"GLEN MORRIS DR + JACOBSON AV",,43.140480,-79.227747,,,,,,0
112,594,"JACOBSON AVE + OAKMOUNT DR",,43.139042,-79.227477,,,,,,0
115,595,"CHESTNUT ST W + JACOBSON AV",,43.138977,-79.227333,,,,,,0
116,596,"JACOBSON AVE + GLEN MORRIS DR",,43.140472,-79.227540,,,,,,0
117,597,"GLEN MORRIS DR + SIR WINSTON CHURCHILL",,43.140248,-79.231467,,,,,,0
119,600,"190 GLENRIDGE AVE + SOUTHRIDGE COMMUNITY CHURCH",,43.142157,-79.239302,,,,,,0
120,601,"GLENRIDGE AVE + EDGEDALE RD",,43.146472,-79.239612,,,,,,0
121,602,"GLENRIDGE AVE + ROCKCLIFFE RD",,43.148435,-79.239875,,,,,,0
122,603,"GLENRIDGE AVE + RIDGEWOOD RD",,43.150238,-79.240145,,,,,,0
123,604,"GLENRIDGE AVE + DOWNING ST",,43.151860,-79.240398,,,,,,0
124,605,"GLENRIDGE AVE + WESTCHESTER CRES",,43.154629,-79.241868,,,,,,0
125,606,"WESTCHESTER CR + ST PAUL ST",,43.155253,-79.245358,,,,,,0
126,195,"ST PAUL ST + QUEEN ST",,43.156652,-79.245342,,,,,,0
128,90,"ONTARIO ST + CHURCH ST",,43.156803,-79.249793,,,,,,0
129,91,"ONTARIO ST + MONTEBELLO PARK",,43.158265,-79.252653,,,,,,0
130,92,"164 ONTARIO ST",,43.159800,-79.254672,,,,,,0
132,94,"ONTARIO ST + WOODRUFF AVE",,43.161890,-79.257358,,,,,,0
133,95,"ONTARIO ST + LOWELL AVE",,43.163368,-79.259138,,,,,,0
134,96,"ONTARIO ST + PLEASANT AVE",,43.164965,-79.260918,,,,,,0
135,97,"ONTARIO ST + CARLTON ST",,43.166562,-79.262738,,,,,,0
136,98,"ONTARIO ST + MANCHESTER AVE",,43.168310,-79.263803,,,,,,0
137,99,"ONTARIO ST + 330 ONTARIO ST",,43.169837,-79.264383,,,,,,0
138,100,"ONTARIO ST + SITEL",,43.170735,-79.264702,,,,,,0
139,101,"ONTARIO ST + 370 ONTARIO ST",,43.172705,-79.265393,,,,,,0
140,102,"ONTARIO ST + SCOTT ST W",,43.175615,-79.266180,,,,,,0
141,103,"ONTARIO ST + HISCOTT ST",,43.177220,-79.266513,,,,,,0
142,104,"ONTARIO ST + MEADOWVALE DR",,43.181773,-79.266975,,,,,,0
143,105,"ONTARIO ST + LINHAVEN",,43.183395,-79.266068,,,,,,0
144,106,"ONTARIO ST + JULIANA CR",,43.184730,-79.265370,,,,,,0
145,107,"ONTARIO ST + LINWELL RD",,43.186375,-79.264337,,,,,,0
146,108,"ONTARIO ST + JAYCEE GARDENS PARK",,43.189347,-79.262778,,,,,,0
147,109,"ONTARIO ST + CHAPLEAU GT",,43.191373,-79.261762,,,,,,0
148,110,"ONTARIO ST + LAKEHURST DR",,43.193003,-79.261022,,,,,,0
149,111,"ONTARIO ST + PHILPARK RD",,43.194608,-79.260355,,,,,,0
150,113,"LAKESHORE RD + CRESCENTWOOD DR",,43.198288,-79.257215,,,,,,0
151,114,"LAKESHORE RD + LAKE ST",,43.199488,-79.254005,,,,,,0
152,115,"LAKESHORE RD + 614 LAKE ST",,43.200218,-79.251987,,,,,,0
153,116,"LAKESHORE RD + PRINCE CHARLES DR",,43.201085,-79.249658,,,,,,0
154,117,"LAKESHORE RD + SHORELINE DR",,43.202795,-79.245780,,,,,,0
155,118,"LAKESHORE RD + GENEVA ST",,43.204288,-79.242910,,,,,,0
156,119,"LAKESHORE RD + AQUADALE DR",,43.205480,-79.240605,,,,,,0
158,121,"LAKESHORE RD + LOYALIST DR",,43.208707,-79.234398,,,,,,0
160,1231,"LAKESHORE RD + VINE STREET",,43.209795,-79.232515,,,,,,0
161,123,"LAKESHORE RD + LOYALIST DR",,43.208810,-79.234423,,,,,,0
162,124,"LAKESHORE RD + TANNER CIR",,43.207245,-79.237412,,,,,,0
163,125,"LAKESHORE RD + AQUADALE DR",,43.205902,-79.240002,,,,,,0
164,126,"LAKESHORE RD + GENEVA ST",,43.204248,-79.243260,,,,,,0
165,127,"LAKESHORE RD + SHORELINE DR",,43.202477,-79.246590,,,,,,0
166,128,"LAKESHORE RD + SIMPSON RD",,43.201133,-79.249768,,,,,,0
168,130,"LAKESHORE RD + LAKE ST",,43.199592,-79.253847,,,,,,0
169,131,"LAKESHORE RD + WESTGATE PARK",,43.198829,-79.255934,,,,,,0
